numero,superficie,precio,estado,manzana_id,proyecto_id
3,0,3600,2,109,1
4,0,3600,2,109,1
5,0,3600,2,109,1
6,0,3600,2,109,1
7,0,3600,2,109,1
8,0,3600,2,109,1
9,0,3600,2,109,1
10,0,3600,2,109,1
11,0,3600,2,109,1
12,0,3600,2,109,1
13,0,3600,2,109,1
14,0,3600,2,109,1
16,0,4500,2,109,1
17,0,3600,2,109,1
18,0,3600,2,109,1
19,0,3600,2,109,1
20,0,3600,2,109,1
21,0,3600,2,109,1
22,0,3600,2,109,1
23,0,3600,2,109,1
24,0,3600,2,109,1
25,0,3600,2,109,1
26,0,3600,2,109,1
27,0,3600,2,109,1
28,0,3600,2,109,1
29,0,3600,2,109,1
30,0,3600,2,109,1
31,0,4500,2,109,1
1,0,4500,2,116,1
2,0,3600,2,116,1
3,0,3600,2,116,1
10,0,4500,2,116,1
11,0,3600,2,116,1
12,0,3600,2,116,1
13,0,3600,2,116,1
14,0,4500,2,116,1
15,0,3690,2,116,1
16,0,3690,2,116,1
17,0,3690,2,116,1
18,0,3690,1,116,1
1,0,4500,2,118,1
2,0,4500,2,118,1
3,0,3600,2,118,1
4,0,4500,2,118,1
5,0,4500,2,118,1
6,0,5400,2,118,1
7,0,5850,2,118,1
8,0,5400,2,118,1
9,0,5400,2,118,1
10,0,4500,2,118,1
11,0,4500,2,118,1
12,0,4050,2,118,1
13,0,3600,2,118,1
14,0,3600,2,118,1
15,0,3600,2,118,1
16,0,3780,2,118,1
17,0,3600,2,118,1
18,0,3600,2,118,1
19,0,3600,2,118,1
20,0,3600,2,118,1
21,0,3600,2,118,1
1,0,6390,2,119,1
2,0,4140,2,119,1
3,0,4140,1,119,1
4,0,4140,2,119,1
5,0,5850,2,119,1
1,0,5400,2,120,1
2,0,3780,2,120,1
3,0,3690,2,120,1
4,0,3690,2,120,1
5,0,4500,2,120,1
1,0,4500,2,121,1
2,0,3600,2,121,1
3,0,3600,2,121,1
4,0,3690,2,121,1
5,0,4950,2,121,1
1,0,6300,2,122,1
2,0,4950,2,122,1
3,0,4950,2,122,1
4,0,4950,2,122,1
5,0,7200,2,122,1
1,0,4500,2,125,1
2,0,3600,2,125,1
3,0,3600,2,125,1
4,0,3600,2,125,1
5,0,3600,2,125,1
1,0,4500,2,126,1
2,0,3600,2,126,1
3,0,3600,2,126,1
4,0,3600,2,126,1
5,0,3600,2,126,1
1,0,4500,2,127,1
2,0,3600,2,127,1
3,0,3600,2,127,1
4,0,3600,2,127,1
5,0,3600,2,127,1
1,0,4500,2,128,1
2,0,3600,2,128,1
3,0,3600,2,128,1
4,0,3600,2,128,1
5,0,3600,2,128,1
1,0,4500,2,129,1
2,0,3600,2,129,1
3,0,3600,2,129,1
4,0,3600,2,129,1
5,0,3600,2,129,1
1,0,4500,2,130,1
2,0,3600,2,130,1
3,0,3600,2,130,1
4,0,3600,2,130,1
5,0,3600,2,130,1
1,0,4500,2,131,1
2,0,3690,2,131,1
3,0,3690,2,131,1
4,0,3690,2,131,1
5,0,3690,2,131,1
2,0,4050,2,134,1
3,0,3600,2,134,1
4,0,3600,2,134,1
5,0,3600,2,134,1
1,0,4500,2,135,1
2,0,3600,2,135,1
3,0,3600,2,135,1
4,0,3600,2,135,1
5,0,3600,2,135,1
1,0,4500,2,136,1
2,0,3600,2,136,1
3,0,3600,2,136,1
4,0,3600,2,136,1
5,0,3600,2,136,1
1,0,4500,2,137,1
2,0,3600,2,137,1
3,0,3600,2,137,1
4,0,3600,2,137,1
5,0,3600,2,137,1
1,0,4500,2,138,1
2,0,4410,2,138,1
3,0,4590,2,138,1
4,0,4950,2,138,1
5,0,6210,2,138,1
1,0,4500,2,132,1
2,0,4500,2,132,1
3,0,5850,2,132,1
4,0,5400,2,132,1
5,0,4410,1,132,1
